,RequirementText,Class
0,The system shall refresh the display every 60 seconds.,PE
1,The application shall match the color of the schema set forth by Department of Homeland Security,LF
2,If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,US
3,The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,A
4,If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,US
5,The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,SE
6,The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,US
7,The product shall respond fast to keep up-to-date data in the display.,PE
8,The system shall have a MDI form that allows for the viewing of the graph and the data table.,F
9,The system shall display Events in a vertical table by time.,F
10,The system shall display the Events in a graph by time.,F
11,The system shall display Events or Activities.,F
12,The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table,F
13,The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,F
14,The table side of the display shall be split into 2 regions: sequential and temporal.,F
15,The top 1/4 of the table will hold events that are to occur sequentially.,F
16,The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,F
17,The system shall color code events according to their variance from current time.,F
18,The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,F
19,The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,F
20,The system shall allow modification of the display.,F
21,The system shall offer a display of all the Events in the exercise.,F
22,The system shall filter data by: Venues and Key Events.,F
23,The system shall allow a user to define the time segments,F
24,The system shall display the local and exercise time in separate clocks,F
25,The system shall offer the ability to pause and resume the refresh of data.,F
26,The system shall provide charts for the Activity or Event actual versus assumed time.,F
27,The system shall provide a history report of changes made to the Activity or Event data,F
28,The look and feel of the system shall conform to the user interface standards of the smart device.,LF
29,The user interface shall have standard menus buttons for navigation,LF
30,The system shall have a professional appearance,LF
31,The product shall have a consistent color scheme and fonts.,LF
32,The system shall be used by realtors with no training.,US
33,The system shall be intuitive and self explanatory.,US
34,The product shall be easy for a realtor to learn.,US
35,The product shall use symbols and words that are naturally understandable by the realtor community.,US
36,The product shall produce search results in an acceptable time,PE
37,The search results shall be returned no later 30 seconds  after the user has entered the search criteria,PE
38,The product shall generate a CMA report in an acceptable time.,PE
39,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,PE
40,The product shall synchronize contacts and appointments in an acceptable time.,PE
41,The product shall synchronize with the office system every hour.,PE
42,The product shall be available for use 24 hours per day 365 days  per year,A
43,Out of 1000 accesses to the system the system is available 999 times.,A
44,The product shall operate in offline mode whenever internet connection is unavailable.,FT
45,The product shall allow the user to view previously downloaded search results CMA reports  and appointments.,FT
46,The product shall retain user preferences in the event of a failure.,FT
47,100% of saved user preferences shall be restored when system comes back online.,FT
48,The product shall be able to support multiple remote users,SC
49,The product shall be able support 1000 simultaneous users.,SC
50,The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,SC
51,The product shall be installed by an untrained realtor without recourse to separately-printed instructions.,US
52,90% of untrained realtors shall be able to install the product on their device without printed instructions,US
53,The product is expected to run on Windows CE and Palm operating systems.,PO
54,Only registered realtors shall be able to access the system.,SE
55,Every user of the system shall be authenticated and authorized.,SE
56,The product shall prevent its data from incorrect data being introduced.,SE
57,The system shall allow a real estate agent to query MLS information,F
58,The user shall be able to get driving directions to a selected property,F
59,The user shall be able to download appointments and contact information for clients,F
60,The system shall display clear property images in the search results,F
61,The system shall update or create new property listings in the MLS,F
